NCT Number,Study Title,Study URL,Study Status,Conditions,Interventions,Sponsor,Collaborators,Sex,Study Type
NCT07099053,Amyloid PET Imaging in the Baltimore Longitudinal Study of Aging,https://clinicaltrials.gov/study/NCT07099053,NOT_YET_RECRUITING,Aging,,National Institute on Aging (NIA),,ALL,OBSERVATIONAL
NCT07099040,Community-based Multi-domain Intervention to Detect and Delay Cognitive Decline in Community-dwelling Older Adults: A Pilot Study,https://clinicaltrials.gov/study/NCT07099040,NOT_YET_RECRUITING,Mild Cognitive Impairment|Mild Cognitive Impairment (MCI),BEHAVIORAL: Social support|BEHAVIORAL: Health coaching|BEHAVIORAL: Physical Activity|BEHAVIORAL: Cognitive activity,Singapore General Hospital,Singapore Health Services,ALL,INTERVENTIONAL
NCT07099027,The Lung Health Check Pilot,https://clinicaltrials.gov/study/NCT07099027,RECRUITING,Non-Small Cell Lung Cancer,DIAGNOSTIC_TEST: Low dose CT,"Royal College of Surgeons, Ireland",,ALL,INTERVENTIONAL
NCT07099014,Inhaled Isoflurane for Sedation of Invasively Ventilated Patients With Cardiogenic Shock on Extracorporeal Membrane Oxygenation,https://clinicaltrials.gov/study/NCT07099014,NOT_YET_RECRUITING,"Cardiogenic Shock, ECMO","DRUG: Inahled Isoflurane|DRUG: Propofol, midazolam",Assistance Publique - Hôpitaux de Paris,,ALL,INTERVENTIONAL
NCT07099001,Establishing Clinical Utility Evidence for a Novel Alzheimer's Disease Blood-Based Biomarker Assay,https://clinicaltrials.gov/study/NCT07099001,NOT_YET_RECRUITING,Alzheimer Disease (AD)|Cognitive Decline,OTHER: Educational materials on the Alzheimer's disease assay|OTHER: Alzheimer's disease assay results,"Qure Healthcare, LLC","Beckman Coulter, Inc.",ALL,INTERVENTIONAL
NCT07098988,Trial Investigating Visugromab in Combination With Immunochemotherapy in 1L Treatment of Participants With Metastatic NSCLC,https://clinicaltrials.gov/study/NCT07098988,NOT_YET_RECRUITING,Metastatic Non-Squamous Non-Small Cell Lung Cancer|Adult Solid Tumor,BIOLOGICAL: Visugromab|DRUG: Matching placebo for visugromab|BIOLOGICAL: Pembrolizumab 200 mg Q3W|DRUG: Pemetrexed 500 mg/m^2|DRUG: Carboplatin AUC 5,CatalYm GmbH,,ALL,INTERVENTIONAL
NCT07098975,Statin Intervention for Severe Early-Onset Placental Insufficiency. (STATIN-PRE Trial),https://clinicaltrials.gov/study/NCT07098975,NOT_YET_RECRUITING,Preeclampsia (PE)|Intrauterine Growth Restriction (IUGR)|Placental Insufficiency,DRUG: Pravastatin 40 mg|OTHER: Placebo,Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,Universitat Autonoma de Barcelona|Hospital Clinic of Barcelona|Hospital Universitari Vall d'Hebron Research Institute,FEMALE,INTERVENTIONAL
NCT07098962,KinesioTaping for Thoracic Drain Support,https://clinicaltrials.gov/study/NCT07098962,NOT_YET_RECRUITING,"Primary Condition: Pain, Postoperative|Associated Conditions: Cardiac Surgical Procedures, Thoracic Surgery","OTHER: Kinesiotaping|DRUG: Dexketoprofen, tramadol",Kastamonu University,,ALL,INTERVENTIONAL
NCT07098949,Acupuncture Combined With Chemotherapy for Gastric Cancer After Surgery,https://clinicaltrials.gov/study/NCT07098949,NOT_YET_RECRUITING,Gastric Cancer,OTHER: Acupuncture|OTHER: Sham Acupuncture|DRUG: Chemotherapy,Guangzhou University of Traditional Chinese Medicine,"Sixth Affiliated Hospital, Sun Yat-sen University|First Affiliated Hospital, Sun Yat-Sen University",ALL,INTERVENTIONAL
NCT07098936,Momelotinib in VEXAS Syndrome,https://clinicaltrials.gov/study/NCT07098936,NOT_YET_RECRUITING,VEXAS Syndome|Myelo Dysplastic Syndrome,DRUG: Momelotinib treatment,Groupe Francophone des Myelodysplasies,GlaxoSmithKline Research & Development Limited,ALL,INTERVENTIONAL
NCT07098923,The Effect of Exercise on Blood Pressure Variability on Peritoneal Dialysis Patients,https://clinicaltrials.gov/study/NCT07098923,COMPLETED,CKD (Chronic Kidney Disease) Stage 5D|Peritoneal Dialysis (PD),BEHAVIORAL: combination of aerobic and resistance exercise,The Affiliated Hospital of Xuzhou Medical University,,ALL,INTERVENTIONAL
NCT07098910,Surfactant Therapy Via Supraglottic Airway to Preterm Neonates With RDS in Vietnam,https://clinicaltrials.gov/study/NCT07098910,NOT_YET_RECRUITING,Respiratory Distress Syndrome in Premature Infant,PROCEDURE: Surfactant Administration Through Laryngeal or Supraglottic Airways (SALSA)|PROCEDURE: Intubation - Surfactant administration - Extubation (INSURE),Karolinska Institutet,Göteborg University|University of Padova|Hanoi Obstetrics and Gynecology Hospital,ALL,INTERVENTIONAL
NCT07098897,To Evaluate the Effect and Safety of Telitacicept and Standard Treatment for 6months in IgA Nephropathy,https://clinicaltrials.gov/study/NCT07098897,ACTIVE_NOT_RECRUITING,IgA Nephropathy (IgAN),DRUG: Telitacicept 160mg|DRUG: Corticosteroid|DRUG: ACE Inhibitor or Angiotensin receptor antagonist,The Affiliated Hospital of Xuzhou Medical University,,ALL,INTERVENTIONAL
NCT07098884,Artificial Intelligence for Pathology Diagnosis and Prognosis Prediction of Lung Nodule Using Smartphone Photos,https://clinicaltrials.gov/study/NCT07098884,RECRUITING,Artificial Intelligence|Lung Nodule,DIAGNOSTIC_TEST: AI model,Anhui Provincial Hospital,The First Affiliated Hospital of Soochow University|Ningbo No. 1 Hospital,ALL,OBSERVATIONAL
NCT07098871,Predictive Value of Preoperative Rectus and Diaphragm Muscle Thickness for Postoperative Complications in Gastrointestinal Cancer Surgery,https://clinicaltrials.gov/study/NCT07098871,NOT_YET_RECRUITING,Gastrointestinal Cancers|Complication,DIAGNOSTIC_TEST: Ultrasonography (Rectus and diaphragma muscle thickness measurement),Ankara Oncology Research and Training Hospital,,ALL,OBSERVATIONAL
NCT07098858,The WiSE®-UP Registry (The WiSE System Utilization & Performance Registry),https://clinicaltrials.gov/study/NCT07098858,NOT_YET_RECRUITING,Heart Failure,DEVICE: The Wise System,"EBR Systems, Inc.",,ALL,OBSERVATIONAL
NCT07098845,Mindfulness-Based Intervention With a Supplement for Stress-Related Problems in College Students Across Multiple Sites (4SITE),https://clinicaltrials.gov/study/NCT07098845,NOT_YET_RECRUITING,Stress|Mental Health|Mindfulness Based Stress Reduction,BEHAVIORAL: Learning to BREATHE|BEHAVIORAL: Learning to BREATHE Plus|BEHAVIORAL: HealthEd,Colorado State University,"University of Minnesota|National Center for Complementary and Integrative Health (NCCIH)|University of Colorado, Denver|Macalester College",ALL,INTERVENTIONAL
NCT07098832,Multimodal Biomarkers in Prediction of Diabetic Retinopathy,https://clinicaltrials.gov/study/NCT07098832,NOT_YET_RECRUITING,Diabetic Retinopathy (DR),,"Zhongshan Ophthalmic Center, Sun Yat-sen University",,ALL,OBSERVATIONAL
NCT07098819,The eValuation of Sources of vIBRAtioN for Vibrational Shear Wave elasTography,https://clinicaltrials.gov/study/NCT07098819,NOT_YET_RECRUITING,Head and Neck Cancer (H&Amp;Amp;N)|Lymph Nodes,DEVICE: Vibrational Shear wave elastography algorithm,"Institute of Cancer Research, United Kingdom",,ALL,OBSERVATIONAL
NCT07098806,Multiple Dose Intraventricular Administration of Rhenium-186 NanoLiposome for Leptomeningeal Metastases,https://clinicaltrials.gov/study/NCT07098806,RECRUITING,Leptomeningeal Metastasis,DRUG: 186RNL,Plus Therapeutics,,ALL,INTERVENTIONAL
NCT07098793,Cough Monitoring in COPD,https://clinicaltrials.gov/study/NCT07098793,COMPLETED,Cough|COPD|COPD Exacerbation,DEVICE: Cough monitoring,Hull University Teaching Hospitals NHS Trust,Philips Electronics Nederland B.V. acting through Philips CTO organization,ALL,OBSERVATIONAL
NCT07098780,Role of Tranexamic Acid in Reducing Hemorrhagic Events in Bariatric Surgery,https://clinicaltrials.gov/study/NCT07098780,RECRUITING,"Hemorrhage|Bariatric Surgery|Obesity, Morbid",DRUG: Tranexamic Acid|OTHER: Normal Saline (Placebo),"Patel Hospital, Pakistan",,ALL,INTERVENTIONAL
NCT07098767,SURE Trial: Swallowing Ultrasound Reliability Evaluation Trial,https://clinicaltrials.gov/study/NCT07098767,RECRUITING,Dysphagia|Swallowing Disorder,DIAGNOSTIC_TEST: ultrasound evaluation|DIAGNOSTIC_TEST: Fiberoptic endoscopic evaluation of swallowing (FEES),National Taiwan University Hospital,,ALL,OBSERVATIONAL
